CustomerID,Lookalikes
C0001,"['C0085', 'C0042', 'C0089']"
C0002,"['C0157', 'C0166', 'C0029']"
C0003,"['C0111', 'C0160', 'C0147']"
C0004,"['C0162', 'C0165', 'C0090']"
C0005,"['C0080', 'C0167', 'C0177']"
C0006,"['C0079', 'C0117', 'C0196']"
C0007,"['C0146', 'C0125', 'C0061']"
C0008,"['C0109', 'C0136', 'C0124']"
C0009,"['C0015', 'C0131', 'C0193']"
C0010,"['C0176', 'C0027', 'C0030']"
C0011,"['C0139', 'C0100', 'C0023']"
C0012,"['C0101', 'C0156', 'C0093']"
C0013,"['C0067', 'C0138', 'C0141']"
C0014,"['C0192', 'C0159', 'C0186']"
C0015,"['C0009', 'C0131', 'C0120']"
C0016,"['C0154', 'C0040', 'C0026']"
C0017,"['C0075', 'C0179', 'C0039']"
C0018,"['C0045', 'C0041', 'C0068']"
C0019,"['C0142', 'C0174', 'C0055']"
C0020,"['C0058', 'C0193', 'C0198']"
